final_key	disposition	source_key	match_basis	year	doi	title
tsuji2014perceptual	add	tsuji2014perceptual	no_match_after_three_passes	2014		Perceptual attunement in vowels: A meta-analysis
vong2024grounded	reuse	Vong2024	title+first_author+year	2024		Grounded language acquisition through the eyes and ears of a single child
vong2025robustness	add	Portelance2024	manual_metadata_repair_after_no_strict_match	2025	10.48550/arXiv.2507.14749	On the robustness of modeling grounded word learning through a child's egocentric input
Wang2025	add	Wang2025	no_match_after_three_passes	2025		{B}aby{VLM}: Data-Efficient Pretraining of {VLM}s Inspired by Infant Learning
warstadt2020blimp	reuse	warstadt2020blimp	exact_key	2020	10.1162/tacl_a_00321	BLiMP: The benchmark of linguistic minimal pairs for English
warstadt2020learning	add	warstadt2020learning	no_match_after_three_passes	2020		Learning which features matter: RoBERTa acquires a preference for linguistic generalizations (eventually)
warstadt2022what	reuse	Warstadt2022	title+first_author+year	2022		What Artificial Neural Networks Can Tell Us About Human Language Acquisition
warstadt2023findings	reuse	Warstadt2023	title+first_author+year	2023		Findings of the BabyLM Challenge: Sample-efficient pretraining on developmentally plausible corpora
WeislederFernald2013	add	WeislederFernald2013	no_match_after_three_passes	2013	10.1177/0956797613488145	Talking to Children Matters: Early Language Experience Strengthens Processing and Builds Vocabulary
weissweiler2023counting	add	weissweiler2023counting	no_match_after_three_passes	2023		Counting the bugs in ChatGPT’s wugs: A multilingual investigation into the morphological capabilities of a large language model
Wellman2001	add	Wellman2001	no_match_after_three_passes	2001		Meta-analysis of theory-of-mind development: The truth about false belief
Werker1984	add	Werker1984	no_match_after_three_passes	1984		Cross-language speech perception: Evidence for perceptual reorganization during the first year of life
wilcox2023testing	add	wilcox2023testing	no_match_after_three_passes	2023		Testing the predictions of surprisal theory in 11 languages
WimmerPerner1983	add	WimmerPerner1983	no_match_after_three_passes	1983		Beliefs about beliefs: Representation and constraining function of wrong beliefs in young children’s understanding of deception
